section_id,section name
,
9,Day & Night
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
22,City & Business
,
1,UK News
,
4,Other Sport
,
22,City & Business
,
22,City & Business
,
1,UK News
,
4,Other Sport
,
17,The Crusader
,
4,Other Sport
,
40,Columnists
,
41,Express Comment
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
40,Columnists
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
7,Have Your Say
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
7,Have Your Say
,
1,UK News
,
4,Other Sport
,
1,UK News
,
7,Have Your Say
,
55,Big Brother
,
10,Express Yourself
,
7,Have Your Say
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
20,TV Guide
,
20,TV Guide
,
1,UK News
,
20,TV Guide
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
55,Big Brother
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
40,Columnists
,
7,Have Your Say
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
40,Columnists
,
40,Columnists
,
25,Travel
,
1,UK News
,
55,Big Brother
,
25,Travel
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
27,Blogs
,
41,Express Comment
,
25,Travel
,
1,UK News
,
11,Health
,
11,Health
,
22,City & Business
,
22,City & Business
,
22,City & Business
,
9,Day & Night
,
9,Day & Night
,
9,Day & Night
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
25,Travel
,
1,UK News
,
1,UK News
,
25,Travel
,
1,UK News
,
25,Travel
,
1,UK News
,
55,Big Brother
,
55,Big Brother
,
25,Travel
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
55,Big Brother
,
10,Express Yourself
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
20,TV Guide
,
20,TV Guide
,
20,TV Guide
,
1,UK News
,
1,UK News
,
27,Blogs
,
1,UK News
,
1,UK News
,
27,Blogs
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
55,Big Brother
,
9,Day & Night
,
7,Have Your Say
,
9,Day & Night
,
1,UK News
,
9,Day & Night
,
9,Day & Night
,
9,Day & Night
,
9,Day & Night
,
1,UK News
,
1,UK News
,
10,Express Yourself
,
22,City & Business
,
10,Express Yourself
,
14,Food & Recipes
,
22,City & Business
,
22,City & Business
,
55,Big Brother
,
17,The Crusader
,
41,Express Comment
,
40,Columnists
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
12,Fashion & Beauty
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
10,Express Yourself
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
20,TV Guide
,
1,UK News
,
20,TV Guide
,
20,TV Guide
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
27,Blogs
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
55,Big Brother
,
10,Express Yourself
,
7,Have Your Say
,
7,Have Your Say
,
1,UK News
,
7,Have Your Say
,
7,Have Your Say
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
41,Express Comment
,
40,Columnists
,
40,Columnists
,
40,Columnists
,
25,Travel
,
25,Travel
,
1,UK News
,
25,Travel
,
40,Columnists
,
1,UK News
,
40,Columnists
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
55,Big Brother
,
25,Travel
,
40,Columnists
,
25,Travel
,
25,Travel
,
1,UK News
,
13,Gardening
,
1,UK News
,
13,Gardening
,
40,Columnists
,
24,Motoring
,
40,Columnists
,
40,Columnists
,
41,Express Comment
,
22,City & Business
,
22,City & Business
,
1,UK News
,
22,City & Business
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
4,Other Sport
,
1,UK News
,
4,Other Sport
,
4,Other Sport
,
4,Other Sport
,
7,Have Your Say
,
7,Have Your Say
,
7,Have Your Say
,
55,Big Brother
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
,
1,UK News
